Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2043;65886.0 ± 242.5;37215.0 ± 164.1;191.1 ± 5.7;22.6 ± 1.5;112.0 ± 4.7;52.5 ± 1.8;4.0 ± 0.7;323831 ± 59213;16057 ± 2925;1769954 ± 323582
2044;65251.5 ± 242.1;36786.3 ± 160.7;189.0 ± 5.5;22.3 ± 1.4;111.0 ± 4.8;51.8 ± 1.8;3.9 ± 0.7;324351 ± 59160;16082 ± 2923;1772782 ± 323290
2045;64609.0 ± 238.9;36342.0 ± 158.4;187.0 ± 5.5;22.2 ± 1.3;110.0 ± 4.8;51.1 ± 1.8;3.8 ± 0.7;324831 ± 59109;16105 ± 2921;1775371 ± 323016
2046;63981.0 ± 240.8;35914.2 ± 157.8;185.6 ± 5.5;22.3 ± 1.3;108.5 ± 4.8;51.1 ± 1.9;3.7 ± 0.7;325355 ± 59054;16131 ± 2917;1778268 ± 322701
2047;63354.9 ± 239.8;35551.0 ± 156.3;182.8 ± 5.4;22.0 ± 1.3;106.9 ± 4.7;50.3 ± 1.9;3.6 ± 0.7;325848 ± 59008;16155 ± 2915;1781028 ± 322458
2048;62762.2 ± 242.0;35244.2 ± 155.2;180.7 ± 5.6;22.1 ± 1.4;105.7 ± 4.6;49.4 ± 1.8;3.5 ± 0.7;326321 ± 58973;16178 ± 2913;1783643 ± 322250
2049;62160.5 ± 241.7;35031.5 ± 155.2;180.3 ± 5.8;21.9 ± 1.4;105.2 ± 4.9;49.6 ± 2.0;3.6 ± 0.7;326842 ± 58911;16204 ± 2910;1786462 ± 321923
2050;61558.1 ± 241.0;34912.7 ± 159.0;180.6 ± 6.0;21.9 ± 1.5;105.2 ± 4.9;49.9 ± 2.0;3.6 ± 0.7;327315 ± 58869;16228 ± 2908;1789040 ± 321708
2051;60961.4 ± 243.0;34807.2 ± 161.1;179.4 ± 5.9;21.7 ± 1.5;104.6 ± 4.7;49.4 ± 1.9;3.7 ± 0.7;327804 ± 58816;16253 ± 2905;1791738 ± 321416
2052;60387.4 ± 245.8;34706.2 ± 164.6;179.3 ± 5.7;21.8 ± 1.6;104.3 ± 4.7;49.5 ± 1.9;3.7 ± 0.7;328267 ± 58760;16275 ± 2902;1794313 ± 321102
2053;59782.8 ± 245.8;34532.5 ± 162.4;178.6 ± 5.8;21.6 ± 1.5;104.0 ± 4.8;49.5 ± 2.0;3.5 ± 0.7;328768 ± 58720;16298 ± 2900;1797079 ± 320880
2054;59173.2 ± 238.1;34304.6 ± 159.2;177.6 ± 5.4;21.4 ± 1.6;103.0 ± 4.7;49.7 ± 2.1;3.5 ± 0.7;329244 ± 58682;16321 ± 2898;1799710 ± 320672
2055;58541.5 ± 241.8;34101.9 ± 166.2;176.7 ± 5.3;21.4 ± 1.7;102.5 ± 4.6;49.2 ± 2.1;3.6 ± 0.7;329716 ± 58635;16345 ± 2896;1802326 ± 320403
2056;57936.8 ± 239.0;33892.6 ± 160.4;176.3 ± 5.3;21.4 ± 1.7;102.5 ± 4.6;48.8 ± 2.2;3.6 ± 0.8;330180 ± 58592;16368 ± 2894;1804857 ± 320165
2057;57320.3 ± 238.9;33631.7 ± 162.9;175.9 ± 5.6;21.2 ± 1.8;102.2 ± 4.8;48.9 ± 2.2;3.5 ± 0.7;330672 ± 58565;16391 ± 2893;1807564 ± 320012
2058;56698.8 ± 235.2;33344.3 ± 161.5;174.9 ± 5.7;21.0 ± 1.8;101.7 ± 4.8;48.7 ± 2.3;3.5 ± 0.7;331142 ± 58522;16414 ± 2891;1810154 ± 319786
2059;56066.8 ± 234.6;32998.1 ± 160.5;172.8 ± 5.3;20.7 ± 1.7;100.6 ± 4.7;48.2 ± 2.2;3.3 ± 0.7;331605 ± 58498;16437 ± 2890;1812719 ± 319660
2060;55434.1 ± 234.8;32649.7 ± 162.3;170.4 ± 5.3;20.2 ± 1.8;99.3 ± 4.7;47.7 ± 2.4;3.2 ± 0.7;332077 ± 58472;16461 ± 2889;1815334 ± 319516
2061;54806.5 ± 233.2;32294.9 ± 161.0;167.6 ± 5.2;19.8 ± 1.6;98.1 ± 4.6;46.6 ± 2.4;3.1 ± 0.7;332528 ± 58443;16481 ± 2888;1817834 ± 319350
2062;54171.4 ± 234.5;31876.2 ± 159.9;165.7 ± 5.0;19.7 ± 1.7;96.8 ± 4.5;46.0 ± 2.3;3.2 ± 0.8;332985 ± 58414;16503 ± 2886;1820342 ± 319198
2063;53543.6 ± 228.1;31466.8 ± 153.0;163.3 ± 5.1;19.3 ± 1.8;95.4 ± 4.3;45.3 ± 2.3;3.2 ± 0.8;333455 ± 58386;16527 ± 2885;1822947 ± 319051
2064;52922.9 ± 228.0;31004.5 ± 156.6;159.8 ± 5.0;19.5 ± 1.8;92.5 ± 4.3;44.6 ± 2.2;3.2 ± 0.8;333914 ± 58351;16549 ± 2883;1825492 ± 318845
2065;52301.5 ± 228.9;30590.9 ± 151.6;158.2 ± 4.9;19.2 ± 1.7;91.3 ± 4.4;44.4 ± 2.2;3.2 ± 0.8;334337 ± 58328;16570 ± 2882;1827846 ± 318706
2066;51696.7 ± 229.6;30178.1 ± 146.7;155.6 ± 4.6;19.2 ± 1.7;89.8 ± 4.2;43.4 ± 2.1;3.2 ± 0.8;334743 ± 58301;16590 ± 2881;1830091 ± 318542
2067;51098.5 ± 225.2;29780.3 ± 143.8;152.7 ± 4.3;18.9 ± 1.7;88.4 ± 4.1;42.3 ± 2.0;3.1 ± 0.8;335193 ± 58263;16610 ± 2880;1832536 ± 318331
2068;50491.5 ± 222.4;29396.4 ± 140.6;150.1 ± 4.2;18.9 ± 1.7;86.8 ± 4.0;41.3 ± 2.2;3.0 ± 0.7;335629 ± 58247;16630 ± 2879;1834949 ± 318231
2069;49874.4 ± 224.0;29030.5 ± 140.3;147.8 ± 4.4;18.7 ± 1.7;85.4 ± 4.1;40.7 ± 2.3;3.0 ± 0.7;336040 ± 58219;16649 ± 2878;1837212 ± 318081
2070;49259.8 ± 220.6;28646.5 ± 136.3;144.8 ± 4.5;17.9 ± 1.6;83.7 ± 4.4;40.3 ± 2.1;2.9 ± 0.6;336431 ± 58201;16668 ± 2877;1839351 ± 317966
