,years_for_full,full_population_mean,target_agents_mean,total_affected_mean,m694v_homozigotes_mean,compound_mean,n_allele_mean,carrier_births_mean,affected_births_mean,normal_births_mean,full_population_ci_low,target_agents_ci_low,total_affected_ci_low,m694v_homozigotes_ci_low,compound_ci_low,n_allele_ci_low,carrier_births_ci_low,affected_births_ci_low,normal_births_ci_low,full_population_ci_high,target_agents_ci_high,total_affected_ci_high,m694v_homozigotes_ci_high,compound_ci_high,n_allele_ci_high,carrier_births_ci_high,affected_births_ci_high,normal_births_ci_high
30,1980,72900.48,56823.68,281.64,33.56,171.96,69.36,6846.56,362.08,32806.92,72720.08704310689,56647.26004832832,275.2869791416471,31.544977644458175,166.56082550507332,65.88524926169757,6796.499732637284,354.2580527846322,32667.720487224604,73080.8729568931,57000.099951671684,287.99302085835285,35.575022355541826,177.3591744949267,72.83475073830243,6896.620267362717,369.9019472153678,32946.11951277539
31,1981,73461.12,57180.8,283.88,33.68,173.2,70.16,7058.44,372.56,33824.2,73275.92266686844,56996.82092732053,277.8237162902211,31.884628588100316,168.04777174418678,66.89069493215047,7007.614225694437,364.9579283244631,33677.14177775225,73646.31733313155,57364.77907267948,289.9362837097789,35.47537141189969,178.3522282558132,73.42930506784953,7109.265774305562,380.1620716755369,33971.25822224774
32,1982,74049.36,57583.76,285.68,33.88,174.88,69.88,7270.56,383.6,34869.8,73852.82861691316,57393.847318039334,279.9124467486926,32.158916124453356,169.5622679922107,66.79687576636944,7216.788196281943,375.6456834360204,34716.99062657023,74245.89138308684,57773.67268196067,291.4475532513074,35.60108387554665,180.19773200778928,72.96312423363055,7324.331803718058,391.5543165639796,35022.609373429776
33,1983,74685.12,58040.04,289.36,34.6,176.48,71.2,7495.6,394.48,35957.8,74477.48579488829,57847.24405162653,283.74641035581215,32.839633371519824,171.44833222082377,68.08859645818805,7440.706351697123,386.35437169772905,35795.00130193805,74892.7542051117,58232.835948373475,294.9735896441879,36.36036662848018,181.5116677791762,74.31140354181196,7550.493648302878,402.605628302271,36120.59869806196
34,1984,75347.12,58530.56,292.44,34.88,178.68,71.88,7724.8,404.6,37066.6,75133.71973041791,58332.54110914252,286.5370908505495,33.11846987725633,173.88471135661956,68.7474318778357,7669.568558616189,396.6079412748237,36899.34277478486,75560.52026958208,58728.578890857476,298.3429091494505,36.641530122743674,183.47528864338045,75.0125681221643,7780.031441383811,412.59205872517634,37233.857225215135
35,1985,76041.36,58943.56,294.2,34.84,179.84,72.48,7956.12,416.36,38202.36,75822.23454556041,58740.34929965076,287.77869379850694,32.97824071731422,175.0434297364332,69.04744361930257,7899.38504492784,408.117988310289,38030.00540837943,76260.4854544396,59146.77070034923,300.62130620149304,36.701759282685785,184.6365702635668,75.91255638069744,8012.85495507216,424.60201168971105,38374.71459162057
36,1986,76683.4,59366.6,296.72,35.28,181.28,73.12,8196.0,427.88,39343.64,76456.49229183064,59158.505282207036,290.98718706857915,33.31830206878497,176.89216741735362,69.66290964730936,8134.436340719544,419.94960973806036,39165.93363790222,76910.30770816935,59574.69471779296,302.4528129314209,37.24169793121503,185.66783258264638,76.57709035269065,8257.563659280455,435.81039026193963,39521.34636209778
37,1987,77314.64,59788.84,300.92,36.08,183.4,74.32,8434.68,440.96,40475.04,77084.51967058508,59579.98477276122,294.94396032141685,33.92126960769375,178.8665068655616,70.76358553596462,8372.24569593693,432.7775535915799,40292.559351638156,77544.76032941492,59997.69522723877,306.8960396785832,38.238730392306245,187.9334931344384,77.87641446403536,8497.11430406307,449.1424464084201,40657.520648361846
38,1988,77473.64,60073.8,302.8,36.16,184.96,74.68,8671.48,453.36,41617.0,77238.15820430015,59860.78589910838,297.28987792028767,33.98425285782868,180.56347926651085,71.41453568794064,8604.047727484238,444.71310433199676,41430.50626607131,77709.12179569984,60286.81410089163,308.31012207971236,38.335747142171314,189.35652073348916,77.94546431205937,8738.912272515761,462.00689566800327,41803.49373392869
39,1989,78147.08,60526.36,305.56,37.0,186.44,75.12,8911.0,464.8,42773.84,77905.54721053052,60310.46445401068,300.3915428066008,34.79119217676141,181.93614915581492,71.9047236966838,8840.597611214771,455.60260732598636,42586.568976882096,78388.61278946948,60742.25554598932,310.7284571933992,39.20880782323859,190.94385084418508,78.3352763033162,8981.402388785229,473.99739267401367,42961.1110231179
