Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2072;4673.7 ± 29.9;2660.0 ± 18.6;8.7 ± 1.7;0.3 ± 0.2;5.7 ± 1.0;2.7 ± 0.5;0.0 ± 0.0;4890 ± 4;250 ± 0;28125 ± 33
2073;4606.0 ± 28.2;2625.3 ± 22.4;8.7 ± 1.7;0.3 ± 0.2;6.0 ± 1.2;2.3 ± 0.4;0.0 ± 0.0;4910 ± 7;251 ± 0;28241 ± 39
2074;4545.3 ± 29.4;2593.7 ± 18.8;9.0 ± 2.2;0.3 ± 0.2;6.0 ± 1.6;2.7 ± 0.5;0.0 ± 0.0;4923 ± 7;251 ± 0;28316 ± 33
2075;4483.7 ± 31.8;2553.7 ± 23.2;8.7 ± 2.0;0.3 ± 0.2;5.7 ± 1.4;2.7 ± 0.5;0.0 ± 0.0;4943 ± 6;253 ± 1;28430 ± 37
2076;4424.3 ± 34.8;2514.7 ± 25.7;7.7 ± 1.7;0.3 ± 0.2;5.0 ± 1.2;2.3 ± 0.4;0.0 ± 0.0;4962 ± 6;255 ± 1;28540 ± 26
2077;4369.7 ± 34.5;2498.7 ± 32.0;8.0 ± 1.9;0.3 ± 0.2;5.3 ± 1.4;2.3 ± 0.4;0.0 ± 0.0;4984 ± 8;255 ± 0;28648 ± 33
2078;4310.3 ± 32.1;2469.0 ± 29.4;8.0 ± 1.9;0.3 ± 0.2;5.0 ± 1.6;2.3 ± 0.4;0.3 ± 0.2;5013 ± 7;256 ± 0;28769 ± 34
2079;4251.7 ± 31.0;2432.7 ± 26.7;7.7 ± 1.7;0.3 ± 0.2;5.0 ± 1.6;2.0 ± 0.4;0.3 ± 0.2;5025 ± 9;257 ± 0;28843 ± 46
2080;4211.3 ± 31.9;2410.0 ± 23.8;8.3 ± 1.8;0.3 ± 0.2;5.3 ± 1.8;2.3 ± 0.2;0.3 ± 0.2;5041 ± 10;257 ± 0;28927 ± 58
2081;4170.3 ± 33.3;2395.3 ± 23.1;8.3 ± 2.1;0.3 ± 0.2;5.0 ± 1.9;2.7 ± 0.2;0.3 ± 0.2;5062 ± 12;258 ± 0;29045 ± 68
2082;4125.0 ± 32.3;2376.3 ± 24.0;8.3 ± 2.1;0.3 ± 0.2;5.0 ± 1.9;2.7 ± 0.2;0.3 ± 0.2;5081 ± 11;258 ± 0;29150 ± 58
2083;4073.3 ± 29.1;2347.7 ± 22.2;8.3 ± 2.1;0.7 ± 0.4;4.7 ± 1.7;2.7 ± 0.2;0.3 ± 0.2;5091 ± 9;259 ± 0;29218 ± 48
2084;4031.7 ± 31.2;2327.0 ± 24.0;8.7 ± 2.3;0.7 ± 0.4;5.0 ± 1.9;2.7 ± 0.2;0.3 ± 0.2;5106 ± 9;259 ± 0;29291 ± 47
2085;3996.3 ± 34.5;2297.3 ± 26.6;8.7 ± 2.3;0.7 ± 0.4;4.7 ± 1.7;3.0 ± 0.4;0.3 ± 0.2;5115 ± 10;260 ± 0;29347 ± 55
2086;3962.7 ± 32.6;2272.0 ± 23.3;9.7 ± 2.9;1.0 ± 0.6;5.0 ± 1.9;3.3 ± 0.5;0.3 ± 0.2;5132 ± 7;260 ± 0;29442 ± 48
2087;3933.3 ± 32.6;2252.7 ± 22.4;9.3 ± 2.7;1.0 ± 0.6;5.0 ± 1.9;3.0 ± 0.4;0.3 ± 0.2;5148 ± 5;261 ± 0;29546 ± 43
2088;3898.7 ± 35.0;2230.0 ± 23.7;8.7 ± 2.6;1.0 ± 0.6;4.7 ± 1.7;2.7 ± 0.4;0.3 ± 0.2;5158 ± 5;262 ± 0;29634 ± 48
2089;3863.0 ± 34.5;2207.7 ± 23.4;9.0 ± 2.8;1.0 ± 0.6;4.7 ± 1.7;3.0 ± 0.6;0.3 ± 0.2;5172 ± 7;262 ± 1;29725 ± 49
2090;3828.3 ± 35.6;2190.3 ± 22.4;8.7 ± 2.6;1.0 ± 0.6;4.3 ± 1.5;3.0 ± 0.6;0.3 ± 0.2;5185 ± 10;263 ± 0;29811 ± 53
2091;3782.7 ± 32.2;2164.3 ± 19.2;8.7 ± 2.6;1.0 ± 0.6;4.3 ± 1.5;3.0 ± 0.6;0.3 ± 0.2;5204 ± 11;264 ± 0;29918 ± 52
2092;3735.3 ± 27.8;2128.7 ± 15.1;9.0 ± 2.5;1.0 ± 0.6;4.0 ± 1.3;3.7 ± 0.7;0.3 ± 0.2;5215 ± 8;264 ± 0;29973 ± 42
2093;3694.7 ± 33.5;2102.0 ± 18.0;8.3 ± 2.4;0.7 ± 0.4;4.0 ± 1.3;3.3 ± 0.8;0.3 ± 0.2;5232 ± 6;266 ± 1;30063 ± 42
2094;3660.7 ± 35.0;2071.0 ± 15.6;7.7 ± 2.0;0.7 ± 0.4;4.0 ± 1.3;2.7 ± 0.4;0.3 ± 0.2;5246 ± 7;266 ± 1;30127 ± 42
2095;3624.7 ± 34.2;2047.3 ± 12.3;7.7 ± 2.0;0.7 ± 0.4;3.7 ± 1.1;3.0 ± 0.6;0.3 ± 0.2;5260 ± 5;268 ± 1;30214 ± 27
2096;3575.3 ± 31.0;2020.7 ± 12.1;8.7 ± 1.7;0.7 ± 0.4;4.3 ± 0.8;3.3 ± 0.5;0.3 ± 0.2;5283 ± 4;270 ± 0;30321 ± 17
2097;3529.0 ± 36.3;1996.7 ± 14.9;8.7 ± 1.7;0.7 ± 0.4;4.3 ± 0.8;3.3 ± 0.5;0.3 ± 0.2;5299 ± 2;270 ± 0;30395 ± 13
2098;3495.0 ± 33.3;1973.7 ± 14.8;8.7 ± 1.7;0.7 ± 0.4;4.3 ± 0.8;3.3 ± 0.5;0.3 ± 0.2;5314 ± 5;271 ± 0;30468 ± 22
2099;3449.3 ± 34.7;1946.7 ± 14.2;8.7 ± 1.7;0.7 ± 0.4;4.3 ± 0.8;3.3 ± 0.5;0.3 ± 0.2;5326 ± 3;271 ± 0;30534 ± 13
2100;3400.3 ± 33.7;1929.0 ± 15.4;8.3 ± 1.4;0.7 ± 0.4;4.0 ± 0.7;3.3 ± 0.5;0.3 ± 0.2;5340 ± 0;271 ± 0;30611 ± 4
2101;3357.0 ± 36.9;1903.3 ± 17.1;8.3 ± 1.4;0.7 ± 0.4;4.0 ± 0.7;3.3 ± 0.5;0.3 ± 0.2;5360 ± 6;272 ± 0;30714 ± 30
2102;3315.7 ± 38.5;1876.0 ± 18.7;9.0 ± 1.6;0.7 ± 0.4;4.3 ± 0.9;3.7 ± 0.4;0.3 ± 0.2;5374 ± 6;273 ± 0;30780 ± 26
2103;3271.7 ± 35.2;1857.3 ± 21.0;9.0 ± 1.6;0.7 ± 0.4;4.3 ± 0.9;3.7 ± 0.4;0.3 ± 0.2;5385 ± 7;273 ± 0;30845 ± 35
2104;3231.7 ± 30.7;1837.0 ± 22.8;8.7 ± 1.7;0.7 ± 0.4;4.3 ± 0.9;3.3 ± 0.5;0.3 ± 0.2;5406 ± 6;274 ± 0;30950 ± 27
2105;3197.3 ± 31.2;1818.3 ± 22.1;8.7 ± 1.7;0.7 ± 0.4;4.3 ± 0.9;3.3 ± 0.5;0.3 ± 0.2;5419 ± 6;275 ± 0;31018 ± 23
2106;3158.3 ± 28.9;1795.3 ± 22.4;8.3 ± 1.4;0.7 ± 0.4;4.0 ± 0.7;3.3 ± 0.5;0.3 ± 0.2;5430 ± 6;277 ± 1;31078 ± 31
2107;3125.0 ± 28.8;1778.3 ± 22.7;8.3 ± 1.4;0.7 ± 0.4;4.0 ± 0.7;3.3 ± 0.5;0.3 ± 0.2;5455 ± 7;279 ± 0;31191 ± 33
2108;3084.0 ± 25.0;1757.3 ± 22.8;8.7 ± 1.4;0.7 ± 0.4;4.3 ± 0.7;3.3 ± 0.5;0.3 ± 0.2;5467 ± 9;279 ± 0;31268 ± 48
2109;3038.3 ± 23.4;1741.0 ± 20.8;8.0 ± 1.9;0.7 ± 0.4;4.3 ± 0.9;2.7 ± 0.7;0.3 ± 0.2;5474 ± 8;281 ± 0;31309 ± 50
2110;3002.0 ± 22.1;1726.3 ± 19.3;7.7 ± 1.7;0.7 ± 0.4;4.3 ± 0.9;2.3 ± 0.5;0.3 ± 0.2;5484 ± 8;281 ± 1;31380 ± 49
2111;2966.0 ± 26.5;1695.7 ± 23.8;7.7 ± 1.4;0.3 ± 0.2;4.7 ± 0.7;2.3 ± 0.5;0.3 ± 0.2;5493 ± 5;282 ± 1;31425 ± 43
2112;2932.3 ± 29.5;1679.3 ± 22.7;7.0 ± 1.2;0.3 ± 0.2;4.0 ± 0.7;2.3 ± 0.5;0.3 ± 0.2;5499 ± 6;283 ± 1;31482 ± 54
2113;2907.0 ± 29.2;1660.0 ± 22.3;6.7 ± 1.0;0.3 ± 0.2;4.0 ± 0.4;2.0 ± 0.6;0.3 ± 0.2;5509 ± 8;283 ± 1;31549 ± 59
2114;2878.3 ± 30.1;1638.7 ± 20.1;7.0 ± 1.2;0.3 ± 0.2;4.0 ± 0.4;2.3 ± 0.8;0.3 ± 0.2;5520 ± 9;284 ± 1;31602 ± 57
2115;2850.0 ± 30.1;1624.0 ± 18.6;7.0 ± 1.2;0.3 ± 0.2;4.3 ± 0.5;2.0 ± 0.6;0.3 ± 0.2;5538 ± 13;285 ± 1;31696 ± 78
2116;2818.0 ± 32.8;1602.3 ± 20.8;7.7 ± 1.0;0.3 ± 0.2;4.7 ± 0.4;2.3 ± 0.5;0.3 ± 0.2;5546 ± 11;286 ± 1;31771 ± 55
2117;2792.0 ± 33.9;1589.0 ± 19.2;8.3 ± 1.2;0.3 ± 0.2;5.0 ± 0.4;2.7 ± 0.7;0.3 ± 0.2;5554 ± 9;286 ± 1;31814 ± 51
2118;2760.7 ± 33.2;1568.0 ± 18.0;8.3 ± 1.2;0.3 ± 0.2;5.0 ± 0.4;2.7 ± 0.7;0.3 ± 0.2;5561 ± 11;287 ± 1;31860 ± 56
2119;2729.3 ± 32.0;1546.7 ± 18.8;9.0 ± 1.3;0.3 ± 0.2;5.0 ± 0.4;3.3 ± 0.9;0.3 ± 0.2;5576 ± 12;288 ± 1;31935 ± 67
2120;2696.0 ± 30.6;1523.3 ± 18.9;9.0 ± 1.3;0.0 ± 0.0;5.0 ± 0.4;3.7 ± 1.1;0.3 ± 0.2;5585 ± 10;289 ± 1;31993 ± 59
2121;2668.7 ± 34.4;1514.3 ± 21.9;8.7 ± 1.1;0.0 ± 0.0;5.0 ± 0.4;3.3 ± 0.9;0.3 ± 0.2;5594 ± 8;289 ± 1;32054 ± 53
2122;2635.0 ± 33.2;1504.0 ± 25.1;9.0 ± 1.1;0.0 ± 0.0;5.0 ± 0.4;3.7 ± 0.9;0.3 ± 0.2;5600 ± 8;290 ± 1;32087 ± 47
2123;2602.7 ± 31.8;1479.0 ± 25.0;8.7 ± 0.9;0.0 ± 0.0;4.7 ± 0.2;3.3 ± 1.1;0.7 ± 0.4;5615 ± 7;290 ± 0;32158 ± 44
2124;2575.7 ± 31.8;1467.3 ± 25.9;8.7 ± 0.9;0.0 ± 0.0;4.7 ± 0.2;3.3 ± 1.1;0.7 ± 0.4;5619 ± 7;290 ± 0;32196 ± 51
2125;2541.7 ± 31.3;1453.0 ± 24.4;8.7 ± 0.8;0.3 ± 0.2;4.3 ± 0.2;3.3 ± 1.1;0.7 ± 0.4;5623 ± 8;290 ± 0;32229 ± 51
